tweets,languages_spacy,languages_langdetect
"RT @Alexandre_Roman: #PKS 1.4 is out 🥳
So many features:
 - #Kubernetes 1.13.5
 - new ClusterAdmin API (set user limits on CPU &amp; memory)
 -…",en,en
"RT @AmelieBenoit33: Hello public de #DevoxxFr, 

Le code et les slides de mon talk sur #ReasonML sont dispos ici ! https://t.co/cbE3lagmOI…",unknown,fr
"#PKS 1.4 is out 🥳
So many features:
 - #Kubernetes 1.13.5
 - new ClusterAdmin API (set user limits on CPU &amp; memory)… https://t.co/3txCBAw8qP",en,en
cc @val_deleplace it is the article we were talking about during #devoxxfr 😉,en,en
"RT @kaastore: 😁 un sourire = un cadeau 🎁
Kaastore exposait la Machine à sourire au DEVOXXFR Palais des Congrès !
#DEVOXXFR #DA #Smile https…",unknown,fr
RT @nmartignole: Petite précision post-devoxx : notre keynote (antonio/zouheir et nicolas) était bien évidemment un sketch à prendre au 2nd…,fr,fr
"RT @AccentureJobsFR: #Devoxx2019, c’est terminé ! 
Notre moment préféré ? Vous rencontrer !
#devoxxfr #IT #Developpeurs #Recrutement #RH #H…",fr,fr
"#Devoxx2019, c’est terminé ! 
Notre moment préféré ? Vous rencontrer !
#devoxxfr #IT #Developpeurs #Recrutement #RH… https://t.co/gmnNCezY76",fr,fr
"RT @AmelieBenoit33: Coucou public de #DevoxxFr, les slides de ""Maroufle ton CSS avec Flexbox et CSS-Grid"" sont dispo ici ! 
https://t.co/23…",fr,fr
RT @Stephan007: Great article and feature.  @emmanuelbernard this is what I was talking about at #DevoxxFr https://t.co/rjdHYE5i9l,en,en
Great article and feature.  @emmanuelbernard this is what I was talking about at #DevoxxFr https://t.co/rjdHYE5i9l,en,en
RT @ippontech: Amis toulousains nous vous proposons de remporter une journée de formation #JHipster le 15 mai ! Comment ? Tentez votre chan…,fr,fr
"RT @BenjaminGakic: Les premiers retours sur les confs de #devoxxfr France 2019 https://t.co/4zMbBbXFn4
Merci @YesWeScale pour votre partage…",fr,fr
"Les premiers retours sur les confs de #devoxxfr France 2019 https://t.co/4zMbBbXFn4
Merci @YesWeScale pour votre pa… https://t.co/YFJ5jpAozH",fr,fr
RT @BenjaminGakic: Meetup ce soir à @wearedaveo pour parler de #ChaosEngineering &amp; #Observabilty. Session de rattrapage pour ceux qui n'aur…,fr,fr
RT @med_wael_thabet: @AXAJobs_fr going to CES with you #AXA #DevoxxFR https://t.co/ENn6Vm20nK,en,en
RT @ptr78: Être ou ne pas être un manager en 2019 par @nhelleringer  je retourne a la maison avec quelques lectures que j'espère inspirante…,fr,fr
"RT @ronanleroy: 2e point de gagné, il y a des chips avec la bière de JFrog au CastCoders ! #DevoxxFr",fr,fr
"RT @toulousejug: Oui c'est les vacances, mais n'oubliez pas la soirée du 14 mai !
Debrief de #DevoxxFR, talks @java_hipster et un petit qui…",fr,fr
RT @LunatechFR: Un grand merci aux organisateurs de @DevoxxFR et merci aux personnes qui sont passés nous voir au stand de @LunatechFR  et…,fr,fr
